SOURCE_PATH,TARGET_PATH,SELECTION,SELECTION_REASON,REJECTED_REASON
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/Date,Shipment/Header/Address/Dates[DateTimeQualifier='002']/Date,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/Date,Shipment/OrderLevel/Address/Dates[DateTimeQualifier='002']/Date,,,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/Header/Address/Dates[DateTimeQualifier='002']/DateTimePeriod,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/OrderLevel/Address/Dates[DateTimeQualifier='002']/DateTimePeriod,,,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/Header/Address/Dates[DateTimeQualifier='002']/DateTimeQualifier,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/OrderLevel/Address/Dates[DateTimeQualifier='002']/DateTimeQualifier,,,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/Time,Shipment/Header/Address/Dates[DateTimeQualifier='002']/Time,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Address/Dates[DateTimeQualifier='002']/Time,Shipment/OrderLevel/Address/Dates[DateTimeQualifier='002']/Time,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Date,Shipment/Header/Dates[DateTimeQualifier='002']/Date,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Date,Shipment/OrderLevel/Dates[DateTimeQualifier='002']/Date,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Date,Shipment/OrderLevel/OrderHeader/DeliveryDate,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/Header/Dates[DateTimeQualifier='002']/DateTimePeriod,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/OrderLevel/Dates[DateTimeQualifier='002']/DateTimePeriod,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/Header/Dates[DateTimeQualifier='002']/DateTimeQualifier,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/OrderLevel/Dates[DateTimeQualifier='002']/DateTimeQualifier,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Time,Shipment/Header/Dates[DateTimeQualifier='002']/Time,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Time,Shipment/OrderLevel/Dates[DateTimeQualifier='002']/Time,,,
ShippingLabel/Header/Dates[DateTimeQualifier='002']/Time,Shipment/OrderLevel/OrderHeader/DeliveryTime,,,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/Date,Shipment/ItemLevel/Dates[DateTimeQualifier='002']/Date,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/Date,Shipment/OrderLevel/ItemLevel/Dates[DateTimeQualifier='002']/Date,,,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/ItemLevel/Dates[DateTimeQualifier='002']/DateTimePeriod,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/DateTimePeriod,Shipment/OrderLevel/ItemLevel/Dates[DateTimeQualifier='002']/DateTimePeriod,,,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/ItemLevel/Dates[DateTimeQualifier='002']/DateTimeQualifier,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/DateTimeQualifier,Shipment/OrderLevel/ItemLevel/Dates[DateTimeQualifier='002']/DateTimeQualifier,,,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/Time,Shipment/ItemLevel/Dates[DateTimeQualifier='002']/Time,rejected,ORDER LEVEL FAVORED OVER OTHER LEVELS,
ShippingLabel/Item/Dates[DateTimeQualifier='002']/Time,Shipment/OrderLevel/ItemLevel/Dates[DateTimeQualifier='002']/Time,,,
